asset,strat_sharpe,strat_maxdd,strat_ret,bh_sharpe,bh_maxdd,bh_ret,funding_off_sharpe,psr,dsr
BNBUSDT,0.93,44.42,563.32,1.04,70.85,3483.14,1.05,1.00,0.80
BTCUSDT,0.98,27.16,298.06,0.79,76.55,620.66,0.99,1.00,0.85
ETHUSDT,0.86,51.03,372.00,0.80,79.28,755.54,0.84,0.99,0.76
SOLUSDT,1.13,59.68,1019.77,1.00,96.26,1717.91,1.04,1.00,0.57
XRPUSDT,0.49,56.94,161.23,0.54,82.99,65.47,0.04,0.93,0.48
TRXUSDT,0.50,45.81,164.32,0.74,78.30,884.10,0.56,0.94,0.78
DOGEUSDT,1.11,64.50,1733.62,0.76,92.33,2531.65,0.94,1.00,0.66
XLMUSDT,0.62,58.17,363.53,0.48,90.10,6.19,0.52,0.98,0.25
ADAUSDT,0.75,59.12,436.77,0.43,94.67,-35.08,0.77,0.99,0.62
LINKUSDT,0.17,63.62,-9.55,0.89,90.17,1551.80,0.26,0.63,0.33
LTCUSDT,0.04,65.13,-26.34,0.21,90.29,-83.03,0.07,0.55,0.28
BCHUSDT,0.01,62.88,-27.46,0.47,94.13,0.60,-0.03,0.51,0.19
ZECUSDT,0.08,63.57,-20.68,0.76,94.17,414.73,0.06,0.57,0.22
XMRUSDT,-0.07,66.81,-28.33,0.60,78.32,84.88,-0.05,0.44,0.16
HBARUSDT,0.30,41.57,34.02,0.67,92.76,139.64,0.27,0.78,0.24
