asset,real_sharpe,real_maxdd,real_ret,proxy_sharpe,proxy_maxdd,proxy_ret,sharpe_gain
BNBUSDT,0.93,44.42,563.32,0.84,48.81,370.80,0.09
BTCUSDT,0.98,27.16,298.06,1.04,26.43,300.08,-0.06
ETHUSDT,0.86,51.03,372.00,0.70,37.34,198.79,0.16
SOLUSDT,1.13,59.68,1019.77,0.92,57.05,471.50,0.21
XRPUSDT,0.49,56.94,161.23,-0.14,63.04,-53.57,0.63
TRXUSDT,0.50,45.81,164.32,0.41,53.61,103.61,0.08
DOGEUSDT,1.11,64.50,1733.62,1.03,62.56,681.13,0.08
XLMUSDT,0.62,58.17,363.53,0.72,55.51,624.55,-0.10
ADAUSDT,0.75,59.12,436.77,0.75,55.40,445.55,0.00
LINKUSDT,0.17,63.62,-9.55,0.78,62.31,499.55,-0.62
LTCUSDT,0.04,65.13,-26.34,0.11,64.06,-13.01,-0.07
BCHUSDT,0.01,62.88,-27.46,0.17,60.81,-4.92,-0.16
ZECUSDT,0.08,63.57,-20.68,0.75,57.65,451.26,-0.67
XMRUSDT,-0.07,66.81,-28.33,0.04,62.02,-15.16,-0.11
HBARUSDT,0.30,41.57,34.02,0.52,51.79,162.03,-0.22
